date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:31:28	2468/2468	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Sep%202026%2016:01:28%20GMT	https://demo.2xgain.info/robots.txt		(from )
21:31:30	65821/65821	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Sep%202026%2016:01:28%20GMT	https://demo.2xgain.info/	C:/My%20Web%20Sites/html/demo.2xgain.info/index.html	(from )
21:31:31	203693/203693	---M-Z	200	added ('OK')	text/css	etag:W/%2231bad-JWlZFV97h69ICfrHgoGy5Zr3pMA%22	https://cdn.jsdelivr.net/npm/@tabler/icons-webfont@latest/tabler-icons.min.css	C:/My%20Web%20Sites/html/cdn.jsdelivr.net/npm/@tabler/icons-webfont@latest/tabler-icons.min.css	(from https://demo.2xgain.info/)
21:31:33	297353/297353	---M-Z	200	added ('OK')	text/css	etag:%2248989-6a9eb79e-90c0463;br%22	https://demo.2xgain.info/public/mtheme1/assets2/css/bootstrap.min.css	C:/My%20Web%20Sites/html/demo.2xgain.info/public/mtheme1/assets2/css/bootstrap.min.css	(from https://demo.2xgain.info/)
21:31:34	101662/101662	---M-Z	200	added ('OK')	text/css	etag:%2218d1e-6a9eb79e-90c0464;br%22	https://demo.2xgain.info/public/mtheme1/assets2/css/fontawesome.css	C:/My%20Web%20Sites/html/demo.2xgain.info/public/mtheme1/assets2/css/fontawesome.css	(from https://demo.2xgain.info/)
21:31:35	75701/75701	---M-Z	200	added ('OK')	text/css	etag:%22127b5-6a9eb79e-90c0462;br%22	https://demo.2xgain.info/public/mtheme1/assets2/css/animate.css	C:/My%20Web%20Sites/html/demo.2xgain.info/public/mtheme1/assets2/css/animate.css	(from https://demo.2xgain.info/)
21:31:35	16590/16590	---M-Z	200	added ('OK')	text/css	etag:%2240ce-6a9eb79e-90c0468;br%22	https://demo.2xgain.info/public/mtheme1/assets2/css/swiper.min.css	C:/My%20Web%20Sites/html/demo.2xgain.info/public/mtheme1/assets2/css/swiper.min.css	(from https://demo.2xgain.info/)
21:31:37	3295/3295	---M-Z	200	added ('OK')	text/css	etag:%22cdf-6a9eb79e-90c0467;br%22	https://demo.2xgain.info/public/mtheme1/assets2/css/odometer.css	C:/My%20Web%20Sites/html/demo.2xgain.info/public/mtheme1/assets2/css/odometer.css	(from https://demo.2xgain.info/)
21:31:38	7859/7859	---M-Z	200	added ('OK')	text/css	etag:%221eb3-6a9eb79e-90c0465;br%22	https://demo.2xgain.info/public/mtheme1/assets2/css/magnific-popup.css	C:/My%20Web%20Sites/html/demo.2xgain.info/public/mtheme1/assets2/css/magnific-popup.css	(from https://demo.2xgain.info/)
21:31:38	241895/241895	---M-Z	200	added ('OK')	text/css	etag:%223b0e7-6a9eb79e-90c0466;br%22	https://demo.2xgain.info/public/mtheme1/assets2/css/main.css	C:/My%20Web%20Sites/html/demo.2xgain.info/public/mtheme1/assets2/css/main.css	(from https://demo.2xgain.info/)
21:31:38	102025/102025	---M-Z	200	added ('OK')	text/css	date:Mon,%2027%20Mar%202023%2017:46:59%20GMT	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	C:/My%20Web%20Sites/html/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	(from https://demo.2xgain.info/)
21:31:38	31000/31000	---M-Z	200	added ('OK')	text/css	date:Mon,%2004%20May%202020%2016:10:07%20GMT	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/html/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://demo.2xgain.info/)
21:31:39	305612/305612	---M-Z	200	added ('OK')	text/css	etag:%224a9cc-6ab64ef5-11fbbcc;br%22	https://demo.2xgain.info/public/build/assets/app-v3u5CJ1u.css	C:/My%20Web%20Sites/html/demo.2xgain.info/public/build/assets/app-v3u5CJ1u.css	(from https://demo.2xgain.info/)
21:31:42	1961646/1961646	---M-Z	200	added ('OK')	text/javascript	etag:%221deeae-6ab64ef5-11bde12;br%22	https://demo.2xgain.info/public/build/assets/app-Her3R83I.js	C:/My%20Web%20Sites/html/demo.2xgain.info/public/build/assets/app-Her3R83I.js	(from https://demo.2xgain.info/)
21:31:44	282045/282045	---M--	200	added ('OK')	image/png	etag:%2244dbd-6a9e8d32-a0fe1d8;;;%22	https://demo.2xgain.info/public/mtheme1/assets2/img/jubblion.png	C:/My%20Web%20Sites/html/demo.2xgain.info/public/mtheme1/assets2/img/jubblion.png	(from https://demo.2xgain.info/)
21:31:45	709/709	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Sep%202026%2016:01:44%20GMT	https://demo.2xgain.info/dashboard	C:/My%20Web%20Sites/html/demo.2xgain.info/dashboard.d.delayed	(from https://demo.2xgain.info/)
21:31:46	0/-1	---M--	302	error ('')			https://demo.2xgain.info/dashboard	C:/My%20Web%20Sites/html/demo.2xgain.info/dashboard.f.delayed	(from https://demo.2xgain.info/)
21:31:46	65821/65821	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Sep%202026%2016:01:45%20GMT	https://demo.2xgain.info/login	C:/My%20Web%20Sites/html/demo.2xgain.info/login.html	(from https://demo.2xgain.info/)
21:31:50	6970/6970	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Sep%202026%2016:01:49%20GMT	https://demo.2xgain.info/public/mtheme1/assets2/img/bg/-bg1.svg	C:/My%20Web%20Sites/html/demo.2xgain.info/public/mtheme1/assets2/img/bg/-bg1.svg	(from https://demo.2xgain.info/)
21:31:53	5088/5088	---M-Z	200	added ('OK')	image/svg+xml	etag:%2213e0-6a9eb79c-3128ee5;br%22	https://demo.2xgain.info/public/mtheme1/assets2/img/shape/hero-sp_01.svg	C:/My%20Web%20Sites/html/demo.2xgain.info/public/mtheme1/assets2/img/shape/hero-sp_01.svg	(from https://demo.2xgain.info/)
21:31:53	5500/5500	---M-Z	200	added ('OK')	image/svg+xml	etag:%22157c-6a9eb79c-3128ee7;br%22	https://demo.2xgain.info/public/mtheme1/assets2/img/shape/hero-sp_03.svg	C:/My%20Web%20Sites/html/demo.2xgain.info/public/mtheme1/assets2/img/shape/hero-sp_03.svg	(from https://demo.2xgain.info/)
21:31:55	107448/107448	---M-Z	200	added ('OK')	image/svg+xml	etag:%221a3b8-6a9eb79c-3128ee9;br%22	https://demo.2xgain.info/public/mtheme1/assets2/img/shape/hero-sp_05.svg	C:/My%20Web%20Sites/html/demo.2xgain.info/public/mtheme1/assets2/img/shape/hero-sp_05.svg	(from https://demo.2xgain.info/)
